央视频道,#genre#
CCTV-1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225835/index.m3u8
CCTV-2,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225833/index.m3u8
CCTV-3,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226337/index.m3u8
CCTV-4,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225615/index.m3u8
CCTV-5,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226332/index.m3u8
CCTV-5+,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225893/index.m3u8
CCTV-6,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226339/index.m3u8
CCTV-7,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225831/index.m3u8
CCTV-8,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226334/index.m3u8
CCTV-9,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225829/index.m3u8
CCTV-10,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225827/index.m3u8
CCTV-11,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226377/index.m3u8
CCTV-12,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225825/index.m3u8
CCTV-13,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226362/index.m3u8
CCTV-14,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225823/index.m3u8
CCTV-15,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226381/index.m3u8
CCTV-16,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226315/index.m3u8
CCTV-16 4K,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226317/index.m3u8
CCTV-17,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226037/index.m3u8

卫视频道,#genre#
云南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225821/index.m3u8
湖南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225847/index.m3u8
江苏卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225849/index.m3u8
浙江卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225853/index.m3u8
东方卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225857/index.m3u8
北京卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225861/index.m3u8
天津卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225843/index.m3u8
安徽卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225845/index.m3u8
深圳卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225851/index.m3u8
重庆卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225839/index.m3u8
山东卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225841/index.m3u8
辽宁卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225855/index.m3u8
湖北卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225837/index.m3u8
四川卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225859/index.m3u8
黑龙江卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225915/index.m3u8
江西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225911/index.m3u8
东南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225917/index.m3u8
贵州卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225923/index.m3u8
广东卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226051/index.m3u8
广西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226111/index.m3u8
河南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226115/index.m3u8
吉林卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226121/index.m3u8
河北卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226127/index.m3u8
海南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226331/index.m3u8
陕西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226369/index.m3u8
山西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225565/index.m3u8
宁夏卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225559/index.m3u8
陕西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225563/index.m3u8
甘肃卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225661/index.m3u8
青海卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225677/index.m3u8
内蒙古卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225649/index.m3u8
新疆卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225645/index.m3u8
西藏卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225671/index.m3u8
纪实人文,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225921/index.m3u8
金鹰纪实,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225925/index.m3u8
纪实科教,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226373/index.m3u8
CETV-1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226057/index.m3u8
CETV-4,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226335/index.m3u8
快乐垂钓,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226297/index.m3u8
游戏风云,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226351/index.m3u8

云南地方频道,#genre#
//云南移动宽带提取
云南都市频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225819/index.m3u8
云南娱乐频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225813/index.m3u8
云南影视频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225811/index.m3u8
云南康旅频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225817/index.m3u8
云南少儿频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225867/index.m3u8
澜湄国际,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225631/index.m3u8
昆明-新闻综合,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225627/index.m3u8
昆明-春城民生,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225617/index.m3u8
昆明教育电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225985/index.m3u8
//其他源
红河州新闻综合,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
红河州新闻综合,http://tv.drs.hhtv.cc:8100/channellive/hhtv-1.flv
红河州公共,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel2/playlist.m3u8
红河州公共,http://tv.drs.hhtv.cc:8100/channellive/hhtv-2.flv
文山州新闻综合,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
文山州新闻综合,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8
